timestamp,city,latitude,longitude,temp_C,humidity_%,pm2_5_Âµg/m3,pm25_capped,pm25_smoothed,confidence
2025-07-15 13:00:00+05:30,Araria,26.1445,87.4726,27.16,81,45.31,45.31,45.31,high
2025-07-15 22:00:00+05:30,Araria,26.1445,87.4726,25.99,91,,,45.31,high
2025-07-15 13:00:00+05:30,Arwal,25.2519,84.6804,32.78,53,35.21,35.21,35.21,high
2025-07-15 22:00:00+05:30,Arwal,25.2519,84.6804,28.74,75,,,35.21,high
2025-07-15 13:00:00+05:30,Aurangabad,24.752,84.3747,31.86,57,23.04,23.04,23.04,high
2025-07-15 22:00:00+05:30,Aurangabad,24.752,84.3747,27.64,82,,,23.04,high
2025-07-15 13:00:00+05:30,Banka,24.8805,86.9253,27.48,83,37.88,37.88,37.88,high
2025-07-15 22:00:00+05:30,Banka,24.8805,86.9253,26.84,87,,,37.88,high
2025-07-15 13:00:00+05:30,Begusarai,25.4167,86.1333,29.91,68,29.25,29.25,29.25,high
2025-07-15 22:00:00+05:30,Begusarai,25.4167,86.1333,27.36,83,,,29.25,high
2025-07-15 13:00:00+05:30,Bhagalpur,25.2523,87.0122,27.14,84,43.07,43.07,43.07,high
2025-07-15 22:00:00+05:30,Bhagalpur,25.2523,87.0122,26.32,90,,,43.07,high
2025-07-15 13:00:00+05:30,Bhojpur,25.5667,84.4,33.9,48,32.45,32.45,32.45,high
2025-07-15 22:00:00+05:30,Bhojpur,25.5667,84.4,29.3,71,,,32.45,high
2025-07-15 13:00:00+05:30,Buxar,25.5667,83.9833,33.14,50,25.5,25.5,25.5,high
2025-07-15 22:00:00+05:30,Buxar,25.5667,83.9833,29.51,69,,,25.5,high
2025-07-15 13:00:00+05:30,Darbhanga,26.1522,85.897,34.21,49,20.94,20.94,20.94,high
2025-07-15 22:00:00+05:30,Darbhanga,26.1522,85.897,28.24,75,,,20.94,high
2025-07-15 13:00:00+05:30,East Champaran,26.646,84.9166,33.11,49,20.85,20.85,20.85,high
2025-07-15 22:00:00+05:30,East Champaran,26.646,84.9166,29.32,67,,,20.85,high
2025-07-15 13:00:00+05:30,Gaya,24.7914,85.0002,28.56,73,32.37,32.37,32.37,high
2025-07-15 22:00:00+05:30,Gaya,24.7914,85.0002,27.4,83,,,32.37,high
2025-07-15 13:00:00+05:30,Gopalganj,26.467,84.433,34.76,44,44.04,44.04,44.04,high
2025-07-15 22:00:00+05:30,Gopalganj,26.467,84.433,29.47,67,,,44.04,high
2025-07-15 13:00:00+05:30,Jamui,24.9201,86.2239,26.71,86,35.51,35.51,35.51,high
2025-07-15 22:00:00+05:30,Jamui,24.9201,86.2239,26.42,90,,,35.51,high
2025-07-15 13:00:00+05:30,Jehanabad,25.2132,84.9869,32.88,53,36.64,36.64,36.64,high
2025-07-15 22:00:00+05:30,Jehanabad,25.2132,84.9869,28.04,79,,,36.64,high
2025-07-15 13:00:00+05:30,Kaimur,25.05,83.6,34.21,49,17.56,17.56,17.56,high
2025-07-15 22:00:00+05:30,Kaimur,25.05,83.6,29.17,75,,,17.56,high
2025-07-15 13:00:00+05:30,Katihar,25.5489,87.5832,26.56,87,65.29,65.29,65.29,high
2025-07-15 22:00:00+05:30,Katihar,25.5489,87.5832,26.83,86,,,65.29,high
2025-07-15 13:00:00+05:30,Khagaria,25.502,86.4675,29.26,72,27.66,27.66,27.66,high
2025-07-15 22:00:00+05:30,Khagaria,25.502,86.4675,27.12,85,,,27.66,high
2025-07-15 13:00:00+05:30,Kishanganj,26.1026,87.9405,27.06,84,40.67,40.67,40.67,high
2025-07-15 22:00:00+05:30,Kishanganj,26.1026,87.9405,25.85,93,,,40.67,high
2025-07-15 13:00:00+05:30,Lakhisarai,25.17,86.08,28.57,74,46.26,46.26,46.26,high
2025-07-15 22:00:00+05:30,Lakhisarai,25.17,86.08,27.19,85,,,46.26,high
2025-07-15 13:00:00+05:30,Madhepura,25.9196,86.7927,27.11,84,32.03,32.03,32.03,high
2025-07-15 22:00:00+05:30,Madhepura,25.9196,86.7927,26.28,91,,,32.03,high
2025-07-15 13:00:00+05:30,Madhubani,26.36,86.08,34.07,48,24.93,24.93,24.93,high
2025-07-15 22:00:00+05:30,Madhubani,26.36,86.08,28.63,72,,,24.93,high
2025-07-15 13:00:00+05:30,Munger,25.381,86.465,28.59,76,33.61,33.61,33.61,high
2025-07-15 22:00:00+05:30,Munger,25.381,86.465,27.04,86,,,33.61,high
2025-07-15 13:00:00+05:30,Muzaffarpur,26.122,85.3906,32.6,53,15.51,15.51,15.51,high
2025-07-15 22:00:00+05:30,Muzaffarpur,26.122,85.3906,28.24,74,,,15.51,high
2025-07-15 13:00:00+05:30,Nalanda,25.135,85.4438,30.46,63,48.08,48.08,48.08,high
2025-07-15 22:00:00+05:30,Nalanda,25.135,85.4438,27.36,84,,,48.08,high
2025-07-15 13:00:00+05:30,Nawada,24.8867,85.5437,28.47,74,40.17,40.17,40.17,high
2025-07-15 22:00:00+05:30,Nawada,24.8867,85.5437,26.59,88,,,40.17,high
2025-07-15 13:00:00+05:30,Patna,25.611,85.144,33.74,51,27.98,27.98,27.98,high
2025-07-15 22:00:00+05:30,Patna,25.611,85.144,28.14,77,,,27.98,high
2025-07-15 13:00:00+05:30,Purnia,25.778,87.4753,26.84,85,70.32,70.32,70.32,high
2025-07-15 22:00:00+05:30,Purnia,25.778,87.4753,26.45,89,,,70.32,high
2025-07-15 13:00:00+05:30,Rohtas,24.95,84.0167,33.07,54,20.84,20.84,20.84,high
2025-07-15 22:00:00+05:30,Rohtas,24.95,84.0167,28.29,79,,,20.84,high
2025-07-15 13:00:00+05:30,Saharsa,25.8804,86.6,28.33,77,32.03,32.03,32.03,high
2025-07-15 22:00:00+05:30,Saharsa,25.8804,86.6,26.39,89,,,32.03,high
2025-07-15 13:00:00+05:30,Samastipur,25.86,85.781,32.07,58,20.3,20.3,20.3,high
2025-07-15 22:00:00+05:30,Samastipur,25.86,85.781,27.41,81,,,20.3,high
2025-07-15 13:00:00+05:30,Saran,25.8552,84.8572,34.8,46,29.29,29.29,29.29,high
2025-07-15 22:00:00+05:30,Saran,25.8552,84.8572,28.54,74,,,29.29,high
2025-07-15 13:00:00+05:30,Sheikhpura,25.141,85.8457,30.43,65,49.61,49.61,49.61,high
2025-07-15 22:00:00+05:30,Sheikhpura,25.141,85.8457,27.21,85,,,49.61,high
2025-07-15 13:00:00+05:30,Sheohar,26.5132,85.2941,34.83,44,11.29,11.29,11.29,high
2025-07-15 22:00:00+05:30,Sheohar,26.5132,85.2941,29.06,68,,,11.29,high
2025-07-15 13:00:00+05:30,Sitamarhi,26.5933,85.4906,34.73,44,13.74,13.74,13.74,high
2025-07-15 22:00:00+05:30,Sitamarhi,26.5933,85.4906,28.96,68,,,13.74,high
2025-07-15 13:00:00+05:30,Siwan,26.2224,84.358,33.94,46,59.0,59.0,59.0,high
2025-07-15 22:00:00+05:30,Siwan,26.2224,84.358,29.26,67,,,59.0,high
2025-07-15 13:00:00+05:30,Supaul,26.1167,86.6,30.35,67,33.7,33.7,33.7,high
2025-07-15 22:00:00+05:30,Supaul,26.1167,86.6,26.09,91,,,33.7,high
2025-07-15 13:00:00+05:30,Vaishali,25.6937,85.2194,33.31,52,23.87,23.87,23.87,high
2025-07-15 22:00:00+05:30,Vaishali,25.6937,85.2194,28.07,77,,,23.87,high
2025-07-15 13:00:00+05:30,West Champaran,27.1306,84.362,34.32,46,59.78,59.78,59.78,high
2025-07-15 22:00:00+05:30,West Champaran,27.1306,84.362,29.65,69,,,59.78,high
