city,latitude,longitude,temp_C,humidity_%,pm2_5_Âµg/m3,timestamp
Araria,26.1445,87.4726,27.16,81,45.31,2025-07-15 08:13:42.142805+00:00
Arwal,25.2519,84.6804,32.78,53,35.21,2025-07-15 08:13:43.742628+00:00
Aurangabad,24.752,84.3747,31.86,57,23.04,2025-07-15 08:13:45.983069+00:00
Banka,24.8805,86.9253,27.48,83,37.88,2025-07-15 08:13:47.904123+00:00
Begusarai,25.4167,86.1333,29.91,68,29.25,2025-07-15 08:13:50.143831+00:00
Bhagalpur,25.2523,87.0122,27.14,84,43.07,2025-07-15 08:13:52.063479+00:00
Bhojpur,25.5667,84.4,33.9,48,32.45,2025-07-15 08:13:54.051778+00:00
Buxar,25.5667,83.9833,33.14,50,25.5,2025-07-15 08:13:56.223076+00:00
Darbhanga,26.1522,85.897,34.21,49,20.94,2025-07-15 08:13:58.430051+00:00
East Champaran,26.646,84.9166,33.11,49,20.85,2025-07-15 08:14:00.383258+00:00
Gaya,24.7914,85.0002,28.56,73,32.37,2025-07-15 08:14:02.623401+00:00
Gopalganj,26.467,84.433,34.76,44,44.04,2025-07-15 08:14:04.543758+00:00
Jamui,24.9201,86.2239,26.71,86,35.51,2025-07-15 08:14:06.533139+00:00
Jehanabad,25.2132,84.9869,32.88,53,36.64,2025-07-15 08:14:08.692853+00:00
Kaimur,25.05,83.6,34.21,49,17.56,2025-07-15 08:14:10.943096+00:00
Katihar,25.5489,87.5832,26.56,87,65.29,2025-07-15 08:14:12.926438+00:00
Khagaria,25.502,86.4675,29.26,72,27.66,2025-07-15 08:14:14.860836+00:00
Kishanganj,26.1026,87.9405,27.06,84,40.67,2025-07-15 08:14:16.991070+00:00
Lakhisarai,25.17,86.08,28.57,74,46.26,2025-07-15 08:14:18.707232+00:00
Madhepura,25.9196,86.7927,27.11,84,32.03,2025-07-15 08:14:20.853090+00:00
Madhubani,26.36,86.08,34.07,48,24.93,2025-07-15 08:14:23.089739+00:00
Munger,25.381,86.465,28.59,76,33.61,2025-07-15 08:14:25.095976+00:00
Muzaffarpur,26.122,85.3906,32.6,53,15.51,2025-07-15 08:14:27.037198+00:00
Nalanda,25.135,85.4438,30.46,63,48.08,2025-07-15 08:14:28.930522+00:00
Nawada,24.8867,85.5437,28.47,74,40.17,2025-07-15 08:14:31.089453+00:00
Patna,25.611,85.144,33.74,51,27.98,2025-07-15 08:14:33.343314+00:00
Purnia,25.778,87.4753,26.84,85,70.32,2025-07-15 08:14:35.583651+00:00
Rohtas,24.95,84.0167,33.07,54,20.84,2025-07-15 08:14:37.823352+00:00
Saharsa,25.8804,86.6,28.33,77,32.03,2025-07-15 08:14:40.062982+00:00
Samastipur,25.86,85.781,32.07,58,20.3,2025-07-15 08:14:41.748047+00:00
Saran,25.8552,84.8572,34.8,46,29.29,2025-07-15 08:14:43.879576+00:00
Sheikhpura,25.141,85.8457,30.43,65,49.61,2025-07-15 08:14:45.902073+00:00
Sheohar,26.5132,85.2941,34.83,44,11.29,2025-07-15 08:14:48.064588+00:00
Sitamarhi,26.5933,85.4906,34.73,44,13.74,2025-07-15 08:14:50.304831+00:00
Siwan,26.2224,84.358,33.94,46,59.0,2025-07-15 08:14:52.534589+00:00
Supaul,26.1167,86.6,30.35,67,33.7,2025-07-15 08:14:54.541228+00:00
Vaishali,25.6937,85.2194,33.31,52,23.87,2025-07-15 08:14:56.704720+00:00
West Champaran,27.1306,84.362,34.32,46,59.78,2025-07-15 08:14:58.944085+00:00
